Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Country A,N_A,%R_A,MIC50_A,MIC90_A,GeoMean_A,Modal_A,Skew_A,Country B,N_B,%R_B,MIC50_B,MIC90_B,GeoMean_B,Modal_B,Skew_B,%R difference (pp),GeoMean gap (log2 steps),Modal MIC differs?,Min N
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Cambodia,48,12.5,0.12,1.0,0.1012,0.015,0.11,Kenya,44,20.45,0.25,1.0,0.213,0.12,-0.362,7.95,1.074,True,44
Haemophilus influenzae,AMP,Ampicillin,high,Cambodia,30,26.67,0.12,4.0,0.3618,0.12,1.013,Costa Rica,52,28.85,0.5,16.0,0.7558,0.12,0.763,2.18,1.063,False,30
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Philippines,59,0.0,0.25,1.0,0.2988,0.5,-0.129,Tunisia,74,0.0,0.5,2.0,0.624,1.0,-0.538,0.0,1.062,True,59
Streptococcus pneumoniae,PEN,Penicillin,high,Pakistan,94,76.6,0.25,0.5,0.196,0.25,0.064,Singapore,34,70.59,0.25,4.0,0.4092,0.06,0.121,6.01,1.062,True,34
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Pakistan,94,0.0,0.12,0.25,0.1135,0.25,-0.704,Ukraine,78,1.28,0.03,0.5,0.0544,0.03,1.099,1.28,1.061,True,78
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Kenya,44,9.09,0.5,2.0,0.3268,1.0,-0.084,Saudi Arabia,36,11.11,0.12,4.0,0.1568,0.015,0.435,2.02,1.059,True,36
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Saudi Arabia,55,0.0,0.5,2.0,0.5302,0.5,-0.015,Vietnam,89,4.49,1.0,4.0,1.0949,1.0,-0.619,4.49,1.046,True,55
Haemophilus influenzae,CXM,Cefuroxime,moderate,Singapore,80,5.0,2.0,4.0,1.402,2.0,0.598,Turkey,239,1.26,0.5,2.0,0.6809,0.5,0.086,3.74,1.042,True,80
Haemophilus influenzae,POD,Cefpodoxime,moderate,Turkey,239,2.51,0.12,0.5,0.0964,0.06,0.943,Ukraine,99,0.0,0.06,0.12,0.047,0.03,0.263,2.51,1.036,True,99
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Chile,77,0.0,0.5,1.0,0.5345,1.0,-0.847,Vietnam,89,4.49,1.0,4.0,1.0949,1.0,-0.619,4.49,1.035,False,77
Haemophilus influenzae,POD,Cefpodoxime,moderate,Saudi Arabia,55,0.0,0.06,0.25,0.0669,0.06,0.505,Singapore,80,0.0,0.12,0.5,0.1366,0.06,0.567,0.0,1.03,False,55
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Chile,73,1.37,0.12,1.0,0.1109,0.015,0.135,Ukraine,78,1.28,0.03,0.5,0.0544,0.03,1.099,0.09,1.028,True,73
Haemophilus influenzae,AZM,Azithromycin,high,Argentina,89,0.0,0.5,1.0,0.41,0.5,-1.114,Pakistan,122,1.64,1.0,1.0,0.8285,1.0,0.859,1.64,1.015,True,89
Streptococcus pneumoniae,LEV,Levofloxacin,high,Cambodia,48,0.0,1.0,1.0,0.817,1.0,-0.401,Pakistan,94,6.38,2.0,2.0,1.6511,2.0,2.013,6.38,1.015,True,48
Haemophilus influenzae,POD,Cefpodoxime,moderate,Costa Rica,52,0.0,0.06,0.12,0.0678,0.12,0.004,Singapore,80,0.0,0.12,0.5,0.1366,0.06,0.567,0.0,1.011,True,52
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Singapore,80,6.25,1.0,4.0,1.2514,2.0,-0.255,Tunisia,74,0.0,0.5,2.0,0.624,1.0,-0.538,6.25,1.004,True,74
